api_alias,name,api_endpoint,api_auth,api_method,api_source,api_desc,api_sub_type,api_query_example_desc,api_query_example,api_source_url
COVID19事件列表,COVID_EventList,https://XXXX?sld-apikey=XXX&sld-cmd=COVID_EventList,api key,GET,unknown,获取COVID19事件列表,COVID19,获取COVID19事件列表,https://XXXX?sld-apikey=XXX&sld-cmd=COVID_EventList,
COVID19事件列表详情及相关推文,COVID_Detail,https://XXXX?XXXXX&XXX=COVID_Detail,api key,GET,unknown,获取COVID19事件列表详情及相关推文,COVID19,,,
COVID19详情相关推文评论列表,COVID19CommentList,https://XXXX?sld-apikey=XXX&sld-cmd=COVID19CommentList,api key,GET,unknown,获取COVID19详情相关推文评论列表,COVID19,,,
新闻事件列表,newsList,https://XXXX?sld-apikey=XXXXX&sld-cmd=newsList,api key,GET,unknown,获取新闻事件列表,News,,,
我和好友共同关注的列表,followersYouKnowList,https://XXXXX?sld-apikey=XXXXX&sld-cmd=followersYouKnowList,api key,GET,unknown,获取我和好友共同关注的列表,Social,,,
转发列表,retweetList,https://XXXX?sld-apikey=XXXXX&sld-cmd=retweetList,api key,GET,unknown,获取指定推文的转发列表,Twitter,获取指定推文的转发列表,curl -L -X GET --compressed 'https://XXXX?sld-apikey=XXXXX&sld-cmd=retweetList&id=123456',
引用列表,quoteList,https://XXXXX?sld-apikey=XXXXX&sld-cmd=quoteList,api key,GET,unknown,获取指定推文的引用列表,Twitter,获取指定推文的引用列表,curl -L -X GET --compressed 'https://XXXXX?sld-apikey=XXXXX&sld-cmd=quoteList&id=123456',
高级搜索热门推文评论列表,searchTopCommentList,https://XXXX?sld-apikey=XXXXX&sld-cmd=searchTopCommentList,api key,GET,unknown,获取高级搜索热门推文的评论列表,Twitter,获取指定热门推文的评论列表,curl -L -X GET --compressed 'https://XXXX?sld-apikey=XXXXX&sld-cmd=searchTopCommentList&id=123456',
高级搜索热门列表,searchTopList,https://XXXXX,api key,POST,unknown,获取高级搜索的热门推文列表,Twitter,"搜索包含""hello""的热门推文",curl -L -X POST --compressed 'https://XXXXX' -d 'sld-apikey=XXXXX&sld-cmd=searchTopList&allWords=hello',
趋势列表,trendingList,https://XXXX?sld-apikey=XXXX&sld-cmd=trendingList,api key,GET,unknown,获取Twitter趋势列表,Twitter,获取Twitter趋势列表,curl -L -X GET --compressed 'https://XXXX?sld-apikey=XXXX&sld-cmd=trendingList',
